file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/flowable/CovarianceTest.java,io.reactivex.flowable.CovarianceTest$TVSeason,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/observable/NbpOperatorBufferBoundary.java,io.reactivex.internal.operators.observable.NbpOperatorBufferBoundary,class,14,15,1,14,2,7,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,0,0,3,3,0,0,201,1,0,0,0,0,0,0,3,0,3,0,0,3,0,12,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableSwitchTest.java,io.reactivex.internal.operators.flowable.FlowableSwitchTest$Anonymous28$Anonymous29,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableAny.java,io.reactivex.internal.operators.flowable.FlowableAny,class,7,8,1,7,2,4,0,1,0,0.0,1.0,1.0,2,0,1,0,1,0,2,0,0,0,2,0,0,0,0,2,2,0,0,109,0,0,0,0,0,0,0,2,0,2,0,0,1,0,9,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/schedulers/AbstractSchedulerConcurrencyTests.java,io.reactivex.schedulers.AbstractSchedulerConcurrencyTests,class,11,15,4,11,11,2,4,27,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,8,288,0,0,0,6,0,4,34,31,0,31,2,11,0,0,97,1025,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorSerializeTest.java,io.reactivex.internal.operators.observable.NbpOperatorSerializeTest$CompletionThread,innerclass,3,3,0,3,7,1,0,4,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,3,0,0,3,0,0,3,0,0,31,0,1,3,1,0,3,0,3,0,3,3,0,0,0,34,9,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/subjects/AsyncSubject.java,io.reactivex.subjects.AsyncSubject$State,innerclass,8,8,0,8,37,2,0,27,21,0.74000007,0.26666668,0.26666668,10,0,6,0,0,4,10,0,0,0,5,3,0,1,0,4,4,0,12,141,12,6,8,0,0,6,15,23,4,18,3,1,0,0,58,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableSubscribeOn.java,io.reactivex.internal.operators.flowable.FlowableSubscribeOn$SubscribeOnSubscriber$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableWindowTimed.java,io.reactivex.internal.operators.flowable.FlowableWindowTimed$WindowExactBoundedSubscriber$ConsumerIndexHolder,innerclass,2,2,0,2,5,1,0,4,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,24,0,0,0,0,0,0,0,4,0,3,1,0,0,0,12,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableAmb.java,io.reactivex.internal.operators.flowable.FlowableAmb,class,8,9,1,8,7,3,0,4,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,2,190,2,1,4,0,1,1,8,10,2,6,3,0,2,0,13,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorZipIterableTest.java,io.reactivex.internal.operators.observable.NbpOperatorZipIterableTest$Anonymous9,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorZipIterableTest.java,io.reactivex.internal.operators.observable.NbpOperatorZipIterableTest$Anonymous7,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorZipIterableTest.java,io.reactivex.internal.operators.observable.NbpOperatorZipIterableTest$Anonymous5$Anonymous6,anonymous,1,1,0,1,4,1,0,0,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,16,2,0,1,0,0,2,1,0,0,1,1,0,0,0,11,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorRetryTest.java,io.reactivex.internal.operators.observable.NbpOperatorRetryTest$Anonymous14$Anonymous15,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorZipIterableTest.java,io.reactivex.internal.operators.observable.NbpOperatorZipIterableTest$Anonymous5,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/single/SingleOnErrorReturn.java,io.reactivex.internal.operators.single.SingleOnErrorReturn,class,5,6,1,5,2,2,0,1,0,0.33333334,1.0,1.0,2,0,1,0,1,0,2,0,0,0,3,0,0,0,0,3,3,0,0,43,0,0,0,0,0,0,0,3,0,3,0,1,0,0,11,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorZipIterableTest.java,io.reactivex.internal.operators.observable.NbpOperatorZipIterableTest$Anonymous4,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorZipIterableTest.java,io.reactivex.internal.operators.observable.NbpOperatorZipIterableTest$Anonymous3,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorZipIterableTest.java,io.reactivex.internal.operators.observable.NbpOperatorZipIterableTest$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorZipIterableTest.java,io.reactivex.internal.operators.observable.NbpOperatorZipIterableTest$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableWindowBoundarySelector.java,io.reactivex.internal.operators.flowable.FlowableWindowBoundarySelector$WindowBoundaryMainSubscriber,innerclass,23,23,0,23,52,7,0,38,11,0.71428573,0.42857143,0.6043956,14,0,8,0,0,6,14,0,0,0,8,0,0,0,0,8,7,0,7,212,9,6,13,1,0,3,12,31,0,22,6,0,0,0,83,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/observable/NbpOperatorBufferExactBoundary.java,io.reactivex.internal.operators.observable.NbpOperatorBufferExactBoundary$BufferExactBondarySubscriber,innerclass,14,14,0,14,20,5,0,15,10,0.675,0.32142857,0.53571427,8,0,7,0,0,1,8,0,0,0,5,0,0,0,0,5,2,0,4,106,7,0,5,2,0,2,0,17,0,11,2,0,0,0,38,24,2
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/schedulers/TestScheduler.java,io.reactivex.schedulers.TestScheduler,class,5,70,65,5,10,3,0,8,3,0.72222227,0.3,0.3,6,0,5,1,0,0,5,0,0,0,3,0,0,2,0,1,1,0,0,91,2,1,1,0,0,0,2,5,1,5,2,0,2,0,80,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/disposables/NbpFullArbiter.java,io.reactivex.internal.disposables.NbpFullArbiter$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/Scheduler.java,io.reactivex.Scheduler$PeriodicDirectTask,innerclass,3,3,0,3,5,1,0,3,0,0.22222222,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0,3,2,0,1,24,0,0,0,1,0,0,0,3,0,3,2,0,0,0,13,8,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/subscribers/ObserversTest.java,io.reactivex.subscribers.ObserversTest,class,6,6,0,6,18,1,0,22,91,0.0,0.0,0.0,14,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,32,117,0,0,0,1,0,1,6,22,1,22,1,6,0,0,48,1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/observable/NbpOperatorTake.java,io.reactivex.internal.operators.observable.NbpOperatorTake,class,5,7,2,5,2,2,0,1,0,0.0,1.0,1.0,2,0,1,0,1,0,2,0,0,0,2,0,0,0,0,2,2,0,0,50,0,0,0,0,0,0,0,2,0,2,0,0,1,0,9,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowablePublish.java,io.reactivex.internal.operators.flowable.FlowablePublish$InnerProducer,innerclass,7,7,0,7,23,3,0,7,0,0.6666667,0.53333336,0.6666667,6,0,6,0,0,0,6,0,0,0,4,2,0,1,0,3,4,0,1,76,7,2,8,0,0,6,9,12,4,9,3,0,0,0,99,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableZipIterableTest.java,io.reactivex.internal.operators.flowable.FlowableZipIterableTest$SquareStr,innerclass,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,8,1,0,0,0,2,4,0,1,4,1,0,0,0,0,9,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/processors/UnicastProcessor.java,io.reactivex.processors.UnicastProcessor$State,innerclass,11,11,0,11,47,6,0,27,1,0.7045455,0.4909091,0.8181818,11,0,8,0,0,3,11,0,0,0,8,1,0,1,0,7,4,0,5,172,12,2,15,0,0,1,8,28,0,21,5,0,0,0,120,24,2
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/subscribers/completable/CompletableSerializedSubscriber.java,io.reactivex.subscribers.completable.CompletableSerializedSubscriber,class,2,2,0,2,6,1,0,4,0,0.25,1.0,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,0,0,2,2,0,0,20,0,0,0,0,0,0,0,2,0,2,1,0,0,0,15,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/single/SingleDoOnError.java,io.reactivex.internal.operators.single.SingleDoOnError$Anonymous1,anonymous,5,5,0,5,4,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,1,0,0,1,0,0,0,13,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous87,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous86,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/processors/ReplaySubjectConcurrencyTest.java,io.reactivex.processors.ReplaySubjectConcurrencyTest$Anonymous5$Anonymous6,anonymous,0,0,0,0,4,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,2,1,0,0,0,1,0,0,0,10,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous89,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorDematerializeTest.java,io.reactivex.internal.operators.observable.NbpOperatorDematerializeTest,class,8,8,0,8,7,1,0,19,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,71,0,0,0,0,0,3,20,25,0,25,0,0,0,0,29,1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous88,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/flowable/SubscriberTest.java,io.reactivex.flowable.SubscriberTest$Anonymous9$Anonymous10,anonymous,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/single/SingleTimer.java,io.reactivex.internal.operators.single.SingleTimer,class,4,5,1,4,2,2,0,3,0,0.0,1.0,1.0,2,0,1,0,1,0,2,0,0,0,3,0,0,0,0,3,3,0,0,20,0,0,0,0,0,0,0,4,0,4,0,1,0,0,17,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/completable/CompletableConcatIterable.java,io.reactivex.internal.operators.completable.CompletableConcatIterable$ConcatInnerSubscriber,innerclass,5,5,0,5,13,3,0,10,0,0.68,0.5,0.6,5,0,4,0,0,1,5,0,0,0,5,1,0,1,0,4,4,0,0,61,7,1,3,2,0,1,3,7,0,8,2,0,0,0,44,24,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorFinallyTest.java,io.reactivex.internal.operators.observable.NbpOperatorFinallyTest,class,6,7,1,6,4,1,0,10,4,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,3,18,0,0,0,0,0,4,1,2,0,2,0,0,0,0,22,1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorRetryTest.java,io.reactivex.internal.operators.observable.NbpOperatorRetryTest$Anonymous14,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorRetryTest.java,io.reactivex.internal.operators.observable.NbpOperatorRetryTest$Anonymous17,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableRefCount.java,io.reactivex.internal.operators.flowable.FlowableRefCount$Anonymous1,anonymous,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorRetryTest.java,io.reactivex.internal.operators.observable.NbpOperatorRetryTest$Anonymous16,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowablePublishTest.java,io.reactivex.internal.operators.flowable.FlowablePublishTest$Anonymous12,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorRetryTest.java,io.reactivex.internal.operators.observable.NbpOperatorRetryTest$Anonymous19,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,1,0,1,1,0,0,0,7,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowablePublishTest.java,io.reactivex.internal.operators.flowable.FlowablePublishTest$Anonymous13,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowablePublishTest.java,io.reactivex.internal.operators.flowable.FlowablePublishTest$Anonymous11,anonymous,0,0,0,0,2,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowablePublishTest.java,io.reactivex.internal.operators.flowable.FlowablePublishTest$Anonymous16,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous90,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowablePublishTest.java,io.reactivex.internal.operators.flowable.FlowablePublishTest$Anonymous17,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/flowable/SubscriberTest.java,io.reactivex.flowable.SubscriberTest$Anonymous9$Anonymous11,anonymous,1,1,0,1,4,1,0,1,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowablePublishTest.java,io.reactivex.internal.operators.flowable.FlowablePublishTest$Anonymous14,anonymous,2,2,0,2,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,2,0,0,0,1,1,0,0,8,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous92,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous91,anonymous,1,1,0,1,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorRetryTest.java,io.reactivex.internal.operators.observable.NbpOperatorRetryTest$Anonymous11,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOnSubscribeRangeTest.java,io.reactivex.internal.operators.observable.NbpOnSubscribeRangeTest$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOnSubscribeRangeTest.java,io.reactivex.internal.operators.observable.NbpOnSubscribeRangeTest$Anonymous2,anonymous,0,0,0,0,4,1,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous93,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableRefCount.java,io.reactivex.internal.operators.flowable.FlowableRefCount$Anonymous2,anonymous,3,3,0,3,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,2,1,0,0,1,1,0,0,3,0,0,0,4,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorRetryTest.java,io.reactivex.internal.operators.observable.NbpOperatorRetryTest$Anonymous13,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous96,anonymous,1,1,0,1,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/main/java/io/reactivex/internal/operators/single/SingleContains.java,io.reactivex.internal.operators.single.SingleContains,class,5,6,1,5,2,2,0,1,0,0.33333334,1.0,1.0,2,0,1,0,1,0,2,0,0,0,3,0,0,0,0,3,3,0,0,24,0,0,0,0,0,0,0,3,0,3,0,1,0,0,10,17,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/internal/operators/observable/NbpOperatorRetryTest.java,io.reactivex.internal.operators.observable.NbpOperatorRetryTest$Anonymous12,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous95,anonymous,1,1,0,1,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/Users/patriziadecristofaro/GIT/RxJava/src/test/java/io/reactivex/completable/CompletableTest.java,io.reactivex.completable.CompletableTest$Anonymous98,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
